EVENT_NAME	COUNT_STAR	SUM_TIMER_WAIT_MS	AVG_TIMER_WAIT_MS
wait/synch/mutex/innodb/flush_list_mutex	18945443	1988.9368	0.0001
wait/synch/mutex/innodb/log_flush_order_mutex	12665770	1979.0137	0.0002
wait/synch/mutex/innodb/trx_undo_mutex	43258359	1833.6304	0.0000
wait/synch/mutex/innodb/trx_pool_mutex	300	1276.4063	4.2547
wait/synch/mutex/innodb/nvdimm_static_region_mutex	9066420	732.6328	0.0001
wait/synch/mutex/innodb/dict_sys_mutex	1526020	713.6414	0.0005
wait/synch/sxlock/innodb/checkpoint_lock	168	522.1045	3.1078
wait/synch/mutex/innodb/srv_sys_mutex	2344693	173.1977	0.0001
wait/synch/mutex/innodb/nvdimm_dynamic_region_mutex	2033879	132.6783	0.0001
wait/synch/mutex/innodb/lock_wait_mutex	45241	122.9075	0.0027
wait/synch/mutex/innodb/rw_lock_list_mutex	2097391	42.1598	0.0000
wait/io/file/sql/ERRMSG	5	38.5050	7.7010
wait/io/file/sql/dbopt	188	31.3050	0.1665
wait/synch/mutex/innodb/purge_sys_pq_mutex	272013	26.9132	0.0001
wait/synch/mutex/innodb/ibuf_bitmap_mutex	180190	23.0616	0.0001
